#{"t_start": 1770576848.9145932, "env_id": "None"}
r,l,t
-28.896622,1,2.213733
-24.826781,1,2.214451
-16.117473,1,2.21516
-6.842978,1,2.216038
-15.287763,1,2.216751
-31.135501,1,2.217463
-18.392814,1,2.218316
-13.773644,1,2.219289
-14.645128,1,2.220345
-15.184769,1,2.221132
-18.190788,1,2.221844
-18.334871,1,2.22256
-11.226156,1,2.223269
-20.848719,1,2.223976
100.0,1,2.224806
-29.426012,1,2.225518
-10.120764,1,2.226278
-8.476461,1,2.226988
-10.140732,1,2.227842
-20.034397,1,2.228657
-26.720665,1,2.229367
-13.170747,1,2.230076
100.0,1,2.230801
-28.64792,1,2.231511
-32.404647,1,2.23223
-2.875293,1,2.232953
-15.476753,1,2.233673
-28.880709,1,2.23438
-22.903601,1,2.23509
-11.380825,1,2.235866
-4.255157,1,2.23665
-18.725906,1,2.237369
-19.409795,1,2.238075
-13.788386,1,2.239124
-29.429548,1,2.239838
100.0,1,2.240552
-4.516038,1,2.241329
-19.980358,1,2.242039
-5.474553,1,2.243031
-2.515863,1,2.244031
-2.992709,1,2.244925
-30.189885,1,2.245641
100.0,1,2.246363
-17.270475,1,2.247235
-11.445356,1,2.248014
-25.251801,1,2.248728
-29.370919,1,2.249434
-6.173218,1,2.25018
-11.229624,1,2.251015
-11.369699,1,2.251729
-17.216492,1,2.252768
-24.13907,1,2.25348
-34.405523,1,2.254189
-19.529775,1,2.254904
-22.00459,1,2.255729
-22.36529,1,2.256433
-27.368826,1,2.257473
-26.368847,1,2.258192
-25.727861,1,2.258904
-4.696844,1,2.25972
-26.369031,1,2.260431
-22.329831,1,2.261138
-14.602333,1,2.261855
-27.90087,1,2.262745
-14.610017,1,2.263581
100.0,1,2.264272
-10.603597,1,2.264984
-13.773189,1,2.265769
-25.883776,1,2.26683
-11.332888,1,2.267785
-12.819156,1,2.268516
-21.933062,1,2.269221
-23.27762,1,2.269929
-23.865433,1,2.270645
-29.693161,1,2.271353
-33.762442,1,2.27206
-6.243124,1,2.272893
-32.569937,1,2.273611
-20.25272,1,2.274314
100.0,1,2.275048
-2.508794,1,2.275803
-18.788981,1,2.276515
-8.075632,1,2.277251
-13.595666,1,2.277955
-17.242576,1,2.278662
-5.687224,1,2.279419
-32.5656,1,2.280127
-5.752487,1,2.280836
-6.108337,1,2.281572
-8.310001,1,2.282325
-14.028065,1,2.283035
-4.523022,1,2.283827
-19.343976,1,2.284543
-13.726546,1,2.285248
-13.804393,1,2.285958
-10.751598,1,2.28686
100.0,1,2.287577
-14.807739,1,2.288576
-9.33149,1,2.289613
-27.42111,1,2.290322
-26.286043,1,2.291033
-17.691625,1,2.291748
-23.205738,1,2.292685
100.0,1,2.293407
-16.287156,1,2.294118
100.0,1,2.294842
-29.413005,1,2.295553
-13.322091,1,2.296332
-32.743594,1,2.297041
-11.688153,1,2.298057
-17.145936,1,2.29896
-11.301953,1,2.641109
-8.090439,1,2.642729
-28.994494,1,2.644091
-31.00365,1,2.645445
-16.969525,1,2.647384
-18.581747,1,2.649106
-5.094521,1,2.650653
-14.263317,1,2.652058
100.0,1,2.653396
-6.05965,1,2.654853
-21.275713,1,2.656251
-14.054451,1,2.658286
-6.614336,1,2.659656
-2.313008,1,2.661607
-30.525195,1,2.662996
-7.251895,1,2.664179
-27.790778,1,2.665773
-12.488722,1,2.666849
-31.180806,1,2.667917
-23.938357,1,2.669034
-14.337605,1,2.670103
-14.730556,1,2.671357
100.0,1,2.672416
-32.976232,1,2.673486
-20.100337,1,2.67475
-5.661019,1,2.675908
-31.514763,1,2.677277
-22.608561,1,2.678347
-8.028014,1,2.679598
-13.432741,1,2.680778
-13.758732,1,2.681674
-18.426433,1,2.682424
-7.200366,1,2.683133
100.0,1,2.684169
-4.761276,1,2.684929
-26.485504,1,2.685938
-2.433186,1,2.686737
-23.98592,1,2.687509
-13.700153,1,2.688317
-11.876078,1,2.689047
-22.260166,1,2.68976
-24.414771,1,2.690462
-7.499453,1,2.691204
-12.208163,1,2.691915
